# Feed created for the Stratosphere Linux IPS
# type: domain, ip
# ioc: indicator
#"type","ioc","description","date_added"
ip,172.217.22.97,Gorgon IP requested,2019-09-09
ip,67.199.248.10,Gorgon IP requested,2019-09-09
ip,67.199.248.11,Gorgon IP requested,2019-09-09
domain,sxasxasxssaxxsasxasx.blogspot.com,Gorgon Domain requested,2019-09-09
domain,xaasxasxasx.blogspot.com,Gorgon domain requested,2019-08-23
domain,resources.blogblog.com,Gorgon domain requested,2019-08-23
ip,67.199.248.15,Gorgon ip requested,2019-08-23
ip,104.20.208.21,Gorgon ip requested,2019-08-23
domain,www.theaterloops.com,Gorgon HTTP/HTTPS requests,2019-08-23
domain,www.sukfat.com,Gorgon HTTP/HTTPS requests,2019-08-23
domain,www.hongmenwenhua.com,Gorgon Domain C2,2019-08-23
domain,www.ichoubyou.net,Gorgon Domain C2,2019-08-23
domain,www.grupomsi.com,Gorgon Domain C2,2019-08-23
ip,210.188.195.164,Gorgon IP C2,2019-08-23
ip,23.20.239.12,Gorgon IP C2,2019-08-23
ip,185.68.16.122,Gorgon IP C2,2019-08-23
ip,199.192.23.220,Gorgon IP C2,2019-08-23
ip,198.46.177.73,Transparent Tribe IP C2,2020-01-22
domain,shell-create.ddns.net,Domain C2,2019-08-06
domain,libre-templates.ddns.net,domain requested,2019-09-09
domain,document-listing.ddns.net,Domain C2,2019-08-16
ip,176.57.215.22,Gamaredon iP C2,2019-08-06
domain,shell-create.ddns.net, Gamaredon Domain C2,2019-08-06
domain,list-sert.ddns.net, Gamaredon Domain requested,2019-09-09
ip,141.8.192.153,Gamaredon ip requested,2019-09-09
ip,188.225.24.161,Gamaredon iP C2,2019-08-16
ip,31.3.232.105,FIN7 IP requested,2019-10-16
ip,185.231.153.21,FIN7 IP C2,2019-10-16
domain,moviedvdpower.com,FIN7 Domain C2,2019-10-16
domain,adamnews.for.ug,domain requested,2019-08-26
domain,israanews.zz.com.ve,domain requested,2019-08-26
domain,mmksba.dyndns.org,Domain C2,2019-08-26
domain,webhoptest.webhop.info,Domain C2,2019-08-26
ip,85.17.26.65,IP requested,2019-08-26
ip,66.154.103.156,IP C2,2019-08-26
ip,37.48.111.5,IP C2,2019-08-26
domain,mmksba.simple-url.com,HTTP/HTTPS requests,2019-08-26
domain,2813.noip.me,Domain C2,2019-10-01
domain,tcoolsoul.com,Domain C2,2019-10-01
domain,ip-api.com,Domain requested,2019-10-01
domain,brothersjoy.nl,Domain requested,2019-10-01
domain,doughnut-snack.live,Domain requested,2019-10-01
domain,pluginsrv1.duckdns.org,HTTP/HTTPS requests,2019-10-01
ip,79.134.225.100,IP requested,2019-10-01
ip,192.169.69.25,IP requested,2019-10-01
ip,172.245.14.10,IP requested,2019-10-01
ip,185.194.141.58,IP C2,2019-10-01
ip,185.247.228.159,IP C2,2019-10-01
ip,147.135.204.64,TA505 IP Requested,2019-10-04
ip,18.194.14.44,TA505 IP Requested,2019-10-04
ip,183.111.138.244,TA505 IP Requested,2019-10-04
ip,185.33.87.27,TA505 IP Requested,2019-10-04
ip,192.99.211.205,TA505 IP Requested,2019-10-04
domain,chogoon.com,TA505 URL requested,2019-10-04
domain,windows-wsus-en.com,TA505 URL Requested,2019-10-04
domain,office365-update-eu.com,TA505 Domain C2,2019-10-04
ip,162.125.66.1,TA505 IP Requested,2019-10-04
ip,172.217.16.141,TA505 IP Requested,2019-10-04
ip,45.63.11.216,TA505 IP Requested,2019-10-04
ip,54.83.52.76,TA505 IP Requested,2019-10-04
ip,96.44.166.189,TA505 IP Requested,2019-10-04
domain,dropbox-download.com,TA505 Domain Requested,2019-10-04
domain,maq.com.pk,Bitter Domain requested,2019-08-27
ip,203.124.43.227,Bitter IP requested,2019-08-27
domain,onlinejohnline99.org,Bitter Domain C2,2019-08-27
ip,93.123.73.193,Bitter IP C2,2019-08-27
domain,cloudfiles.club,DangerousPassword Domain delivery,2020-04-02
domain,msupdatepms.xyz,DangerousPassword Domain delievry,2020-04-02
ip,88.204.166.59,DangerousPassword IP C2,2020-04-02
